Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Saint Lucia,Education,"Corporate Governance, Knowledge, and Standards",Private and State owned companies' understanding of cybersecurity,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity",2015,Formative
Suriname,Education,"Corporate Governance, Knowledge, and Standards",Private and State owned companies' understanding of cybersecurity,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity",2015,Formative
Trinidad and Tobago,Education,"Corporate Governance, Knowledge, and Standards",Private and State owned companies' understanding of cybersecurity,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity",2015,Established
Uruguay,Education,"Corporate Governance, Knowledge, and Standards",Private and State owned companies' understanding of cybersecurity,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity",2015,Formative
Venezuela,Education,"Corporate Governance, Knowledge, and Standards",Private and State owned companies' understanding of cybersecurity,"Corporate Governance, Knowledge, and Standards: Private and State owned companies' understanding of cybersecurity",2015,Formative
Antigua and Barbuda,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Argentina,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Established
Bahamas,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Barbados,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Belize,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Bolivia,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Brazil,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Established
Chile,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Established
Colombia,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Costa Rica,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Established
Dominica,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Ecuador,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
El Salvador,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Formative
Guatemala,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Startup
Guyana,Legal Frameworks,Cybersecurity Legal Frameworks,Legislative frameworks for ICT security,Cybersecurity Legal Frameworks: Legislative frameworks for ICT security,2015,Startup
